,ATE_dr,AUUC_dr,QINI_dr
0,0.006488615181297064,0.5463312852746711,0.0744750705340028
1,0.5948361754417419,0.6575348011261096,0.1814843552242759
2,0.6541540622711182,0.657214510098228,0.1811831500719024
3,0.673117995262146,0.6572519267821566,0.18123252640391915
4,0.784161388874054,0.6572158927509688,0.18125566733781934
5,0.7592846751213074,0.6576993771916155,0.18176952171308697
6,0.7865551114082336,0.6579467825377106,0.18199345668714206
7,0.8734858632087708,0.6579800992254909,0.18207598453413365
8,0.8668575882911682,0.6578990039865037,0.18199627435882398
9,0.7614557147026062,0.6578628596005445,0.18190055789045959
